Patient,Neuron Name,Pre-Stim T-Score,Pre-Stim P-Value,Pre-Stim Significant,Post-Stim T-Score,Post-Stim P-Value,Post-Stim Significant,T-Score Diff (Pre - Post),Post-Stim Mean Rate (Hz),N Clips,Region Abbr,Sig Status,Raster Path
P568_exp5presleep,times_manual_GA3-ROF2_unit_2,0.4286292674230122,0.6745415690839995,False,-0.1875523377539852,0.8538995801230967,False,0.6161816051769975,0.3448275862068966,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_ROF_times_manual_GA3-ROF2_unit_2.png
P568_exp5presleep,times_manual_GA3-ROF3_unit_1,0.6605521786929792,0.5199456199780474,False,0.0078092119006006,0.9939317023930196,False,0.6527429667923786,1.3793103448275863,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_ROF_times_manual_GA3-ROF3_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp1_unit_1,0.965100978078865,0.3484176665058243,False,-0.092946127802079,0.9270028055428428,False,1.058047105880944,6.931034482758621,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp1_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp1_unit_3,-0.9541910197676962,0.3675927938910814,False,-0.0287035345197031,0.9775904804637284,False,-0.925487485247993,1.9655172413793105,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp1_unit_3.png
P568_exp5presleep,times_manual_GA4-RpSMAp2_unit_1,1.1892622730217233,0.2476609126995848,False,-0.0954100781421397,0.9252202758430595,False,1.284672351163863,3.655172413793104,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp2_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp2_unit_2,-0.5784924073369802,0.5769484579796914,False,0.1581285252164429,0.8762496453147333,False,-0.7366209325534231,0.4137931034482758,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp2_unit_2.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_1,-1.225167009341689,0.2421567648869687,False,-0.3342134228738893,0.7425782036159367,False,-0.8909535864677998,1.137931034482759,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_2,-0.8506963092234007,0.4117541305667841,False,-0.1711632992203644,0.8674334249330924,False,-0.6795330100030362,0.4482758620689655,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_2.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_3,-0.0578121612578601,0.9550661124379298,False,-1.1866596022313538,0.2668133405097052,False,1.1288474409734937,0.6896551724137931,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_3.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_4,-0.7520710469952336,0.4641207799037418,False,-0.9155999963376,0.3804139943679777,False,0.1635289493423664,0.7586206896551724,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_4.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_5,1.0782911779323707,0.2923748685674481,False,-0.2361036960996064,0.8188729690333616,False,1.314394874031977,0.6551724137931034,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_5.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_6,-1.4867165821761157,0.1762548452867909,False,-0.8839840917409829,0.3948259773517833,False,-0.6027324904351326,0.4827586206896552,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_6.png
P568_exp5presleep,times_manual_GA4-RpSMAp3_unit_7,-1.4481858928539697,0.187987811377577,False,-0.316862125262239,0.7584607567448381,False,-1.1313237675917305,0.3103448275862069,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp3_unit_7.png
P568_exp5presleep,times_manual_GA4-RpSMAp4_unit_1,0.2233114250292955,0.8251749107115358,False,0.3967444515826723,0.6977776343281388,False,-0.1734330265533768,6.586206896551724,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp4_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp4_unit_2,-0.8330972281201133,0.4223283324803224,False,-2.5258454776143684,0.0195877711656504,True,1.692748249494255,1.9310344827586208,29,FC,sig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp4_unit_2.png
P568_exp5presleep,times_manual_GA4-RpSMAp5_unit_1,-0.2255975613588098,0.8251873509731545,False,-0.6196016818330621,0.5459711202272455,False,0.3940041204742522,7.689655172413793,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp5_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp6_unit_1,0.4747734576253959,0.6408790518991986,False,1.242333569170924,0.2303232393371331,False,-0.7675601115455282,2.5172413793103448,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp6_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp6_unit_2,-0.3924773246423693,0.7013139121596211,False,-0.7466250998895073,0.468599976461117,False,0.354147775247138,3.310344827586207,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp6_unit_2.png
P568_exp5presleep,times_manual_GA4-RpSMAp7_unit_1,2.255600267541636,0.0325096567799008,True,-0.2973803759740533,0.7705509602752934,False,2.552980643515689,1.0,29,FC,sig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp7_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp7_unit_2,-2.357613127226439,0.0387672662958614,True,-0.3110274708509212,0.7581912091632581,False,-2.046585656375518,3.310344827586207,29,FC,sig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp7_unit_2.png
P568_exp5presleep,times_manual_GA4-RpSMAp8_unit_1,1.1228870429016868,0.2735209043702523,False,-0.2390627510825016,0.8134429023718455,False,1.3619497939841885,9.172413793103448,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp8_unit_1.png
P568_exp5presleep,times_manual_GA4-RpSMAp8_unit_2,-0.2289142781149547,0.8234962767826504,False,0.6620829220028378,0.5161949230373044,False,-0.8909972001177926,0.7931034482758621,29,FC,nonsig,C:\Users\Uzair\Desktop\CNL\cnl_aatmi_project\New Script Output\P568_exp5presleep\plots\rasters\all\P568_exp5presleep_RPSMAP_times_manual_GA4-RpSMAp8_unit_2.png
